,house_name,house_located,house_room,house_area,house_price,subway_info
38,安源居,宝安区,4室1厅,10.6,1690,1号线
39,领航城领秀花园,宝安区,4室1厅,9.54,1790,1号线
40,和通花园,龙岗区,3室1厅,13.0,1690,3号线
41,领航城领秀花园,宝安区,4室1厅,8.8,1690,1号线
42,佳兆业城市广场三期,龙岗区,5室1厅,25.4,1930,
43,领翔华府,宝安区,4室1厅,9.2,1790,1号线
44,塘朗城广场东区,南山区,4室1厅,13.0,2190,5号线
45,佳兆业城市广场三期,龙岗区,4室1厅,13.1,2160,
46,佳兆业城市广场三期,龙岗区,4室1厅,13.8,2190,
47,佳兆业城市广场三期,龙岗区,4室1厅,13.9,2190,
48,桦润馨居,龙华区,4室1厅,10.5,1590,4号线
49,中海日辉台,龙岗区,4室1厅,15.0,1760,5号线
50,春华四季园二期,龙华区,5室1厅,13.6,1860,5号线
51,佳兆业城市广场三期,龙岗区,4室1厅,11.1,2190,
52,佳兆业城市广场三期,龙岗区,4室1厅,11.0,2130,
53,世纪春城二期,龙华区,4室1厅,13.8,2190,4号线
54,大信花园,龙华区,4室1厅,10.2,1830,4号线
55,星河传奇一期,龙华区,4室1厅,13.2,2290,4号线
56,星河传奇一期,龙华区,5室1厅,11.0,1790,4号线
57,佳兆业城市广场三期,龙岗区,5室1厅,16.98,2290,
58,信义嘉御山,龙岗区,5室1厅,17.63,2460,5号线
59,桦润馨居,龙华区,4室1厅,12.6,2030,4号线
60,益田村,福田区,4室1厅,8.5,2360,3号线
61,星河传奇一期,龙华区,4室1厅,11.8,2090,4号线
62,龙辉花园,南山区,4室1厅,13.4,2090,7号线
63,丰润花园,龙华区,4室1厅,10.0,1530,4号线
64,佳兆业城市广场三期,龙岗区,4室1厅,10.6,2190,
65,公路局大院,罗湖区,4室1厅,16.2,2260,3号线
66,潜龙曼海宁花园南区,龙华区,4室1厅,9.0,1990,4号线
67,金玲花园,龙华区,4室1厅,12.7,1890,4号线
68,佳兆业城市广场三期,龙岗区,4室1厅,11.0,2190,
69,泰华豪园,宝安区,5室1厅,18.7,1790,1号线
70,春华四季园一期,龙华区,5室1厅,10.8,1760,5号线
71,春华四季园一期,龙华区,5室1厅,10.8,1790,5号线
72,佳兆业城市广场三期,龙岗区,4室1厅,10.2,2060,
73,佳兆业城市广场三期,龙岗区,4室1厅,9.43,2130,
74,佳兆业城市广场三期,龙岗区,4室1厅,9.4,2190,
75,梅林二村,福田区,4室1厅,9.1,2230,9号线
76,中海怡翠山庄四期,龙岗区,5室1厅,15.0,1630,5号线
77,皇庭世纪,福田区,4室1厅,10.0,2990,7号线
78,万科四季花城五期,龙华区,4室1厅,15.3,1990,5号线
79,星河传奇一期,龙华区,5室1厅,12.1,1960,4号线
80,富豪花园,龙岗区,4室1厅,13.7,1590,5号线
81,佳兆业城市广场三期,龙岗区,4室1厅,10.49,2190,
82,滢水山庄,龙华区,4室1厅,13.3,2030,4号线
83,佳兆业城市广场三期,龙岗区,4室1厅,10.32,2190,
84,佳兆业城市广场三期,龙岗区,4室1厅,6.0,1490,
85,溪山,龙华区,4室1厅,8.3,1830,4号线
86,春华四季园二期,龙华区,5室1厅,13.1,2160,5号线
87,翠苑住宅小区,罗湖区,4室1厅,11.9,1990,5号线
88,金祥都市花园,罗湖区,4室1厅,11.8,1660,3号线
89,世外桃源九区,宝安区,4室1厅,16.1,2130,1号线
90,中海日辉台,龙岗区,4室1厅,13.9,1890,5号线
91,金祥都市花园,罗湖区,4室1厅,13.9,1830,3号线
92,华昱苑,龙华区,3室1厅,14.0,1960,4号线
93,港铁天颂,龙华区,5室1厅,20.0,2290,4号线
94,春华四季园一期,龙华区,5室1厅,16.5,2490,5号线
95,深业新岸线三期,宝安区,5室1厅,17.0,2430,1号线
96,泰华豪园,宝安区,4室1厅,19.6,1990,1号线
97,东乐花园,罗湖区,4室1厅,10.0,1890,5号线
98,园岭新村,福田区,4室1厅,15.0,2260,3号线
99,阳光新居,宝安区,4室1厅,14.3,1890,1号线
100,石鸿融景园,宝安区,5室1厅,16.8,2390,5号线
101,万科四季花城一期,龙岗区,4室1厅,14.6,2290,5号线
102,留仙苑1期,南山区,4室1厅,16.0,2290,7号线
103,金地海景花园,福田区,4室1厅,15.8,2690,7号线
104,美丽家园,龙华区,3室1厅,10.9,1890,4号线
105,信义嘉御山,龙岗区,5室1厅,9.59,1990,5号线
106,众冠西郡园,南山区,5室1厅,13.74,2030,5号线
107,鼎太风华四期,南山区,4室1厅,16.35,2630,11号线
108,新秀村南区,罗湖区,4室1厅,11.2,1890,2号线
109,松泉山庄,罗湖区,4室1厅,11.3,2230,3号线
110,玉湖湾,宝安区,5室1厅,12.1,2130,11号线
111,佳兆业城市广场三期,龙岗区,4室1厅,15.2,1890,
112,春华四季园二期,龙华区,5室1厅,12.4,2290,5号线
113,星河传奇一期,龙华区,5室1厅,12.3,2290,4号线
114,莱蒙水榭春天一期,龙华区,4室1厅,13.1,1790,4号线
115,花园城三期,南山区,4室1厅,15.1,2860,2号线
116,梅兴苑,福田区,4室1厅,16.7,2360,9号线
117,贝丽花园,罗湖区,4室1厅,13.5,2190,3号线
118,华润城润府一期,南山区,5室1厅,16.0,2860,1号线
119,世纪春城一期,龙华区,4室1厅,15.0,2130,5号线
120,滢水山庄,龙华区,3室1厅,10.0,1760,4号线
121,春华四季园一期,龙华区,4室1厅,23.0,1990,5号线
122,深业新岸线一期,宝安区,4室1厅,17.0,2460,11号线
123,竹园小区,福田区,4室1厅,9.8,2030,7号线
124,竹园小区,福田区,4室1厅,9.3,2090,7号线
125,万科四季花城六期,龙岗区,4室1厅,15.2,2390,5号线
126,华润城润府一期,南山区,4室1厅,14.0,2860,1号线
127,领翔华府,宝安区,4室1厅,13.1,1730,1号线
128,春华四季园一期,龙华区,5室1厅,20.5,2030,5号线
129,桃源村一期,南山区,4室1厅,6.61,1590,7号线
130,万科四季花城六期,龙岗区,4室1厅,14.3,2230,5号线
131,华联城市全景,宝安区,4室1厅,10.4,2460,5号线
132,皇庭世纪,福田区,4室1厅,12.0,3490,7号线
133,港铁天颂,龙华区,4室1厅,18.0,2190,4号线
134,深业新岸线二期,宝安区,5室1厅,11.0,2260,1号线
135,长福花园,福田区,4室1厅,30.9,3990,3号线
136,大信花园,龙华区,4室1厅,12.3,1690,4号线
137,众冠西郡园,南山区,5室1厅,13.6,2290,5号线
138,佳兆业城市广场三期,龙岗区,4室1厅,12.5,1890,
139,佳兆业城市广场三期,龙岗区,5室1厅,17.81,1890,
140,阳光棕榈园一期,南山区,4室1厅,13.7,2690,1号线
141,佳兆业城市广场三期,龙岗区,4室1厅,12.37,1760,
142,佳兆业城市广场三期,龙岗区,4室1厅,12.1,1790,
143,瑞铧苑,南山区,4室1厅,12.4,2660,2号线
144,中康生活区,福田区,4室1厅,12.3,2390,9号线
145,龙联花园,南山区,4室1厅,13.4,2190,7号线
146,益田村,福田区,4室1厅,11.0,2190,3号线
147,华联城市全景,宝安区,4室1厅,10.6,2560,5号线
148,佳兆业城市广场三期,龙岗区,4室1厅,10.0,1790,
149,知春里,龙岗区,4室1厅,12.8,1760,3号线
150,世纪春城二期,龙华区,4室1厅,12.6,1760,4号线
151,中海日辉台,龙岗区,4室1厅,12.42,2090,5号线
152,滢水山庄二区,龙华区,4室1厅,12.8,1660,4号线
153,万科第五园二期,龙岗区,3室1厅,14.6,1730,5号线
154,英郡年华,龙岗区,5室1厅,15.6,1860,3号线
155,麒麟花园,南山区,4室1厅,12.1,2690,1号线
156,港铁天颂,龙华区,4室1厅,16.0,2760,4号线
157,东乐花园,罗湖区,4室1厅,8.5,2130,5号线
158,泰华豪园,宝安区,4室1厅,16.0,1990,1号线
159,泰华豪园,宝安区,4室1厅,16.0,1930,1号线
160,益田村,福田区,4室1厅,6.0,1790,3号线
161,深业新岸线三期,宝安区,5室1厅,10.0,2090,1号线
162,银信中心二期,龙岗区,5室1厅,12.5,1590,3号线
163,佳兆业城市广场三期,龙岗区,4室1厅,11.7,1890,
164,东安花园,罗湖区,4室1厅,8.6,1860,5号线
165,龙屋小区,罗湖区,4室1厅,11.9,2190,3号线
166,万科翰邻城,龙岗区,5室1厅,12.2,1390,
167,佳兆业城市广场三期,龙岗区,4室1厅,11.8,1790,
168,万科第五园九期,龙岗区,5室1厅,11.8,1790,5号线
169,世纪春城一期,龙华区,4室1厅,11.4,1690,5号线
170,世纪春城一期,龙华区,4室1厅,11.3,1630,5号线
171,领航城领秀花园,宝安区,4室1厅,10.5,1530,1号线
172,先科花园,福田区,3室1厅,15.0,2530,4号线
173,达海花园,宝安区,4室1厅,19.0,2290,1号线
174,富豪花园,龙岗区,4室1厅,19.6,1830,5号线
175,泰华豪园,宝安区,5室1厅,14.5,1890,1号线
176,领航城领秀花园,宝安区,4室1厅,10.2,1630,1号线
177,福中福花园二期,宝安区,4室1厅,15.0,1930,1号线
178,春华四季园二期,龙华区,5室1厅,15.1,1690,5号线
179,春华四季园二期,龙华区,5室1厅,15.4,1690,5号线
180,领航城领秀花园,宝安区,4室1厅,10.7,1690,1号线
181,城市印象,南山区,4室1厅,12.5,2790,11号线
182,豪方现代豪园,南山区,4室1厅,12.9,3390,1号线
183,华润城润府一期,南山区,5室1厅,15.0,2990,1号线
184,华丽西村,罗湖区,4室1厅,21.0,2030,2号线
185,安源居,宝安区,4室1厅,13.2,1530,1号线
186,万科第五园一期,龙岗区,4室1厅,12.9,1890,5号线
187,珠江旭景佳园,龙岗区,4室1厅,12.2,1860,5号线
188,港铁天颂,龙华区,5室1厅,15.4,2130,4号线
189,万科四季花城二期,龙岗区,4室1厅,14.2,2290,5号线
190,佳兆业城市广场三期,龙岗区,4室1厅,8.7,1690,
191,佳兆业城市广场三期,龙岗区,4室1厅,8.78,1690,
192,深业新岸线二期,宝安区,5室1厅,15.2,2860,1号线
193,佳兆业城市广场三期,龙岗区,4室1厅,8.7,1690,
194,万科四季花城二期,龙岗区,4室1厅,14.2,2260,5号线
195,中翠花园,龙岗区,5室1厅,12.0,1760,3号线
196,莲花一村,福田区,4室1厅,13.5,2360,3号线
197,领航城领秀花园,宝安区,4室1厅,11.4,1560,1号线
198,领航城领秀花园,宝安区,4室1厅,11.4,1590,1号线
199,美丽家园,龙华区,4室1厅,13.4,1860,4号线
200,皇庭世纪,福田区,4室1厅,7.0,2290,7号线
201,园岭新村,福田区,4室1厅,11.1,2060,3号线
202,幸福海岸二期,宝安区,4室1厅,10.2,2590,1号线
203,莱蒙水榭春天二期,龙华区,3室1厅,11.0,1690,4号线
204,中海日辉台,龙岗区,4室1厅,12.4,2290,5号线
205,翠苑住宅小区,罗湖区,4室1厅,11.5,1960,5号线
206,港铁天颂,龙华区,5室1厅,16.2,2390,4号线
207,华新村,福田区,4室1厅,11.6,2360,3号线
208,荔苑小区,南山区,4室1厅,10.3,2490,1号线
209,信义假日名城三期菁华园,龙岗区,4室1厅,10.3,1630,5号线
210,半岛花园A区,南山区,4室1厅,11.0,2590,2号线
211,华新村,福田区,4室1厅,11.5,2160,3号线
212,万科第五园一期,龙岗区,4室1厅,15.2,2260,5号线
213,珠江旭景佳园,龙岗区,3室1厅,13.4,1790,5号线
214,佳兆业城市广场三期,龙岗区,4室1厅,11.5,1890,
215,佳兆业城市广场三期,龙岗区,4室1厅,11.7,1830,
216,佳兆业城市广场三期,龙岗区,4室1厅,11.9,1890,
217,佳兆业城市广场三期,龙岗区,4室1厅,11.7,1890,
218,佳兆业城市广场三期,龙岗区,4室1厅,11.0,1890,
219,皇庭世纪,福田区,4室1厅,7.0,2390,7号线
220,雅福居,福田区,4室1厅,12.0,2890,2号线
221,佳兆业城市广场三期,龙岗区,4室1厅,7.68,1630,
222,春华四季园二期,龙华区,5室1厅,12.8,1690,5号线
223,广博星海华庭,南山区,4室1厅,13.1,2990,2号线
224,润恒尚园,宝安区,6室1厅,14.0,1990,1号线
225,金玲花园,龙华区,5室1厅,7.8,1490,4号线
226,颐安都会中央二期,龙岗区,3室1厅,9.83,1990,3号线
227,中海深圳湾畔花园,南山区,4室1厅,15.0,2860,1号线
228,新安湖花园,宝安区,4室1厅,12.2,1830,5号线
229,领航城领秀花园,宝安区,4室1厅,10.5,1590,1号线
230,港铁天颂,龙华区,4室1厅,9.5,1890,4号线
231,港铁天颂,龙华区,5室1厅,16.7,2290,4号线
232,莲花一村,福田区,4室1厅,11.5,2260,3号线
233,富豪花园,龙岗区,4室1厅,15.1,1690,5号线
234,佳兆业城市广场三期,龙岗区,4室1厅,9.96,1730,
235,星海名城一期六组团,南山区,4室1厅,13.27,2960,1号线
236,凯丽花园,南山区,4室1厅,9.9,2460,1号线
237,泰和花园,罗湖区,4室1厅,11.9,1790,5号线
238,佳兆业城市广场三期,龙岗区,4室1厅,8.56,1590,
239,桦润馨居,龙华区,4室1厅,12.8,1430,4号线
240,佳兆业城市广场三期,龙岗区,4室1厅,8.51,1560,
241,华茂苑,福田区,4室1厅,13.2,2460,4号线
242,富瑰园,宝安区,5室1厅,16.7,1990,1号线
243,皇洲花园,福田区,4室1厅,10.8,2560,1号线
244,佳兆业城市广场三期,龙岗区,4室1厅,8.3,1690,
245,佳兆业城市广场三期,龙岗区,4室1厅,8.7,1690,
246,佳兆业城市广场三期,龙岗区,4室1厅,8.5,1630,
247,佳兆业城市广场三期,龙岗区,4室1厅,8.7,1690,
248,美丽家园,龙华区,4室1厅,13.8,1990,4号线
249,佳兆业城市广场三期,龙岗区,4室1厅,8.2,1690,
250,佳兆业城市广场三期,龙岗区,4室1厅,8.47,1660,
251,碧海富通城二期,宝安区,4室1厅,8.2,1630,11号线
252,金竹园南座,南山区,4室1厅,18.4,2230,2号线
253,佳兆业城市广场三期,龙岗区,4室1厅,10.0,1830,
254,佳兆业城市广场三期,龙岗区,4室1厅,10.0,1890,
255,佳兆业城市广场三期,龙岗区,4室1厅,10.0,1830,
256,风和日丽,龙华区,4室1厅,12.1,1430,4号线
257,星河传奇一期,龙华区,4室1厅,12.9,2290,4号线
258,竹盛花园,福田区,4室1厅,11.3,2790,1号线
259,梅兴苑,福田区,4室1厅,11.9,2330,9号线
260,景田西小区,福田区,4室1厅,11.6,2360,2号线
261,东乐花园,罗湖区,4室1厅,9.0,1860,5号线
262,广兴源圣拿威,宝安区,6室1厅,18.3,2390,1号线
263,桦润馨居,龙华区,4室1厅,15.5,1690,4号线
264,颐林雅院,福田区,5室1厅,19.1,2960,4号线
265,福民新村,福田区,4室1厅,11.4,2130,7号线
266,深业新岸线二期,宝安区,5室1厅,9.2,2490,1号线
267,汇龙苑,龙华区,4室1厅,12.8,1990,4号线
268,星河传奇一期,龙华区,3室1厅,13.8,1860,4号线
269,大信花园,龙华区,4室1厅,10.3,1890,4号线
270,留仙苑1期,南山区,4室1厅,13.3,2590,7号线
271,春华四季园一期,龙华区,4室1厅,13.8,2160,5号线
272,麒麟花园,南山区,3室1厅,12.2,2690,1号线
273,景贝北小区,罗湖区,3室1厅,11.5,1960,5号线
274,荣超花园,龙岗区,4室1厅,10.3,1590,3号线
275,愉康花园,南山区,4室1厅,10.1,2090,11号线
276,万科四季花城二期,龙岗区,4室1厅,7.1,1560,5号线
277,汇龙苑,龙华区,3室1厅,12.5,1790,4号线
278,佳兆业城市广场三期,龙岗区,4室1厅,7.53,1690,
279,佳兆业城市广场三期,龙岗区,4室1厅,7.6,1630,
280,佳兆业城市广场三期,龙岗区,4室1厅,7.7,1660,
281,佳兆业城市广场三期,龙岗区,4室1厅,7.6,1630,
282,佳兆业城市广场三期,龙岗区,4室1厅,7.4,1690,
283,丰润花园,龙华区,4室1厅,12.7,1460,4号线
284,康达尔花园四期,龙岗区,4室1厅,10.8,1890,3号线
285,港铁天颂,龙华区,5室1厅,19.5,2690,4号线
286,泰华豪园,宝安区,4室1厅,10.3,1560,1号线
287,汇景豪苑,南山区,4室1厅,10.1,3290,1号线
288,佳兆业城市广场三期,龙岗区,4室1厅,9.96,1830,
289,维富大厦,罗湖区,5室1厅,9.6,2230,3号线
290,珠江旭景佳园,龙岗区,4室1厅,12.1,2160,5号线
291,汇宾广场,南山区,4室1厅,13.0,3030,11号线
292,美荔园,罗湖区,5室1厅,18.9,3030,3号线
293,白金假日公寓,宝安区,4室1厅,9.2,1790,1号线
294,万家灯火,龙华区,4室1厅,14.4,1760,4号线
295,松坪村菊苑,南山区,3室1厅,9.2,2060,7号线
296,佳兆业城市广场三期,龙岗区,4室1厅,8.63,1590,
297,佳兆业城市广场三期,龙岗区,4室1厅,8.29,1530,
298,万科第五园一期,龙岗区,4室1厅,11.5,2090,5号线
299,雍翠华府,罗湖区,4室1厅,8.8,2590,3号线
300,鼎太风华四期,南山区,4室1厅,14.5,3060,11号线
301,华昱苑,龙华区,3室1厅,11.0,1690,4号线
302,滨海春城,宝安区,4室1厅,13.5,2090,5号线
303,信义金御半山二期,龙岗区,6室1厅,18.3,2430,5号线
304,星河传奇一期,龙华区,3室1厅,12.0,1890,4号线
305,万科四季花城一期,龙岗区,5室1厅,13.1,1990,5号线
306,留仙苑1期,南山区,4室1厅,12.7,2590,7号线
307,华茂苑,福田区,4室1厅,9.3,2260,4号线
308,福中福花园一期,宝安区,4室1厅,10.6,1760,1号线
309,万科四季花城七期,龙岗区,5室1厅,16.8,2390,5号线
310,理想居,宝安区,4室1厅,13.4,1990,1号线
311,珠江旭景佳园,龙岗区,3室1厅,12.8,1790,5号线
312,信义嘉御山,龙岗区,5室1厅,9.01,1730,5号线
313,龙联花园,南山区,4室1厅,11.9,2490,7号线
314,碧海富通城六期,宝安区,4室1厅,11.2,2090,11号线
315,汇龙花园,福田区,4室1厅,16.5,2490,4号线
316,南国丽城,南山区,4室1厅,13.1,2430,7号线
317,珠光花半里,南山区,4室1厅,12.4,2290,7号线
318,泰和花园,罗湖区,3室1厅,10.0,1930,5号线
319,马古岭小区,罗湖区,4室1厅,10.9,1690,3号线
320,布心花园一区,罗湖区,4室1厅,10.0,1690,5号线
321,海月花园三期,南山区,6室1厅,15.7,3060,2号线
322,泰华豪园,宝安区,4室1厅,12.6,2090,1号线
323,华昱苑,龙华区,3室1厅,12.2,1690,4号线
324,丽新花园,南山区,5室1厅,11.1,2190,5号线
325,金景花园,罗湖区,3室1厅,11.3,2160,9号线
326,溪山,龙华区,4室1厅,13.4,2260,4号线
327,天威花园,福田区,4室1厅,11.2,2190,4号线
328,万科四季花城二期,龙岗区,4室1厅,7.8,1460,5号线
329,特发小区,福田区,4室1厅,13.4,2160,2号线
330,龙辉花园,南山区,4室1厅,10.4,1830,7号线
331,万科四季花城二期,龙岗区,4室1厅,7.9,1460,5号线
332,英郡年华,龙岗区,4室1厅,10.5,1890,3号线
333,港铁天颂,龙华区,3室1厅,11.8,1990,4号线
334,白金假日公寓,宝安区,4室1厅,8.3,1730,1号线
335,风临洲,宝安区,4室1厅,14.17,2390,5号线
336,花果山小区,南山区,4室1厅,7.9,1860,2号线
337,世纪春城二期,龙华区,4室1厅,9.72,1490,4号线
338,世纪春城二期,龙华区,4室1厅,9.5,1490,4号线
339,华茂苑,福田区,4室1厅,9.3,2390,4号线
340,佳兆业城市广场一期,龙岗区,5室1厅,10.0,1760,
341,佳兆业城市广场三期,龙岗区,4室1厅,10.66,2060,
342,勤诚达22世纪二期,宝安区,4室1厅,11.51,2660,5号线
343,华润城润府一期,南山区,4室1厅,12.5,3260,1号线
344,佳兆业城市广场三期,龙岗区,4室1厅,7.9,1590,
345,佳兆业城市广场三期,龙岗区,4室1厅,7.1,1590,
346,佳兆业城市广场三期,龙岗区,4室1厅,7.6,1590,
347,桂芳园六期,龙岗区,4室1厅,9.5,1560,3号线
348,新秀村南区,罗湖区,4室1厅,11.0,1590,2号线
349,椰风海岸,南山区,4室1厅,11.0,2590,1号线
350,广兴源圣拿威,宝安区,6室1厅,15.7,2290,1号线
351,春华四季园一期,龙华区,5室1厅,9.3,1690,5号线
352,建业小区南区,福田区,4室1厅,13.5,2130,7号线
353,田苑小区,罗湖区,4室1厅,11.3,1660,7号线
354,领航城领秀花园,宝安区,3室1厅,10.3,1560,1号线
355,领航城领秀花园,宝安区,3室1厅,10.3,1560,1号线
356,万科金色半山,龙岗区,4室1厅,9.1,1460,5号线
357,佳兆业城市广场一期,龙岗区,4室1厅,13.3,1790,
358,信义嘉御山,龙岗区,5室1厅,8.62,1790,5号线
359,华润城润府一期,南山区,4室1厅,10.6,3290,1号线
360,桦润馨居,龙华区,4室1厅,9.72,1490,4号线
361,勤诚达22世纪二期,宝安区,4室1厅,5.36,1530,5号线
362,达海花园,宝安区,4室1厅,17.8,2590,1号线
363,建业小区南区,福田区,4室1厅,10.9,1790,7号线
364,鹏城花园,罗湖区,4室1厅,10.0,1790,5号线
365,天海花园,南山区,4室1厅,15.0,2430,2号线
366,佳兆业城市广场三期,龙岗区,4室1厅,8.53,1490,
367,佳兆业城市广场三期,龙岗区,4室1厅,8.65,1490,
368,华润城润府一期,南山区,4室1厅,10.1,3060,1号线
369,特发小区,福田区,4室1厅,7.61,1690,2号线
370,雷圳碧榕湾,南山区,3室1厅,7.7,2330,1号线
371,金玲花园,龙华区,5室1厅,11.6,1790,4号线
372,碧岭华庭,罗湖区,5室1厅,9.2,1690,3号线
373,布心花园一区,罗湖区,4室1厅,9.5,1630,5号线
374,福中福花园一期,宝安区,4室1厅,13.5,2190,1号线
375,莲花一村,福田区,4室1厅,12.6,2690,3号线
376,美丽家园,龙华区,4室1厅,15.2,1860,4号线
377,富豪花园,龙岗区,4室1厅,13.3,1590,5号线
378,布心花园二区,罗湖区,3室1厅,12.9,1890,7号线
379,华联城市全景,宝安区,4室1厅,10.0,2190,5号线
380,鹏城花园,罗湖区,4室1厅,8.0,1760,5号线
381,公路局大院,罗湖区,4室1厅,10.3,1590,3号线
382,珠江旭景佳园,龙岗区,3室1厅,12.8,1890,5号线
383,金地海景花园,福田区,4室1厅,11.9,3060,7号线
384,华业玫瑰四季馨园一期,龙华区,5室1厅,17.0,2560,4号线
385,春华四季园二期,龙华区,5室1厅,8.8,1690,5号线
386,富通天骏,龙华区,4室1厅,10.3,2060,4号线
387,美丽家园,龙华区,3室1厅,10.7,1790,4号线
388,东方富苑,福田区,4室1厅,12.1,2560,4号线
389,桃源村一期,南山区,4室1厅,9.92,1830,7号线
390,鹏益花园,福田区,2室1厅,30.0,3260,7号线
391,万家灯火,龙华区,4室1厅,12.0,1760,4号线
392,泰美园,福田区,5室1厅,15.1,2660,7号线
393,龙珠花园(布吉),龙岗区,4室1厅,9.2,1760,3号线
394,佳兆业城市广场一期,龙岗区,5室1厅,9.3,1790,
395,佳兆业城市广场三期,龙岗区,4室1厅,6.0,1590,
396,佳兆业城市广场三期,龙岗区,4室1厅,6.0,1590,
397,华联城市全景,宝安区,4室1厅,9.88,2060,5号线
398,勤诚达22世纪二期,宝安区,4室1厅,8.29,2190,5号线
399,万科四季花城六期,龙岗区,5室1厅,15.1,2260,5号线
400,华茂苑,福田区,4室1厅,13.4,2160,4号线
401,金玲花园,龙华区,5室1厅,12.4,1890,4号线
402,港铁天颂,龙华区,5室1厅,15.1,2590,4号线
403,泰和花园,罗湖区,3室1厅,10.8,2190,5号线
404,港铁天颂,龙华区,5室1厅,15.0,2590,4号线
405,万家灯火,龙华区,4室1厅,11.9,1690,4号线
406,阳光第五季,龙岗区,4室1厅,11.3,1690,5号线
407,仓前锦福苑,南山区,4室1厅,13.5,3190,1号线
408,雅福居,福田区,4室1厅,12.1,3290,2号线
409,华润城润府一期,南山区,4室1厅,10.4,3190,1号线
410,建业小区南区,福田区,4室1厅,9.1,1860,7号线
411,春华四季园二期,龙华区,5室1厅,9.6,1590,5号线
412,英达花园,罗湖区,5室1厅,10.4,1660,3号线
413,英郡年华,龙岗区,5室1厅,17.9,1760,3号线
414,世纪春城二期,龙华区,4室1厅,12.0,1790,4号线
415,特发小区,福田区,4室1厅,7.1,1790,2号线
416,布心花园一区,罗湖区,4室1厅,9.5,1760,5号线
417,白金假日公寓,宝安区,4室1厅,8.3,1890,1号线
418,金梅花园,福田区,4室1厅,13.8,1830,9号线
419,港铁天颂,龙华区,5室1厅,8.0,1890,4号线
420,金玲花园,龙华区,5室1厅,11.7,1590,4号线
421,科技园五十八区,南山区,4室1厅,12.2,2790,1号线
422,特发和平里,龙华区,5室1厅,13.3,2190,4号线
423,佳兆业城市广场三期,龙岗区,4室1厅,7.2,1460,
424,佳兆业城市广场三期,龙岗区,4室1厅,7.63,1430,
425,鼎太风华六期,南山区,3室1厅,8.3,1790,11号线
426,红荔村,福田区,3室1厅,10.0,2560,2号线
427,风和日丽,龙华区,3室1厅,10.8,1590,4号线
428,后海花半里雅居,南山区,5室1厅,15.7,3160,2号线
429,莱蒙水榭春天一期,龙华区,4室1厅,9.8,2190,4号线
430,万科四季花城七期,龙岗区,4室1厅,14.7,1890,5号线
431,龙屋小区,罗湖区,4室1厅,10.6,1790,3号线
432,汇宾广场,南山区,4室1厅,10.0,2430,11号线
433,丽新花园,南山区,5室1厅,12.6,2490,5号线
434,滢水山庄,龙华区,4室1厅,9.1,1590,4号线
435,佳兆业城市广场三期,龙岗区,4室1厅,9.9,2190,
436,丽新花园,南山区,5室1厅,12.6,2490,5号线
437,四海小区,南山区,3室1厅,12.2,2490,2号线
